"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 09 23:24:41 UTC 2025","Mon Jun 09 23:24:43 UTC 2025","1859","","tests.FormTest","","tests.FormTest","submitFormWithRequiredFieldsAndVerifyModal","Отправить форму с обязательными полями и проверить данные в модальном окне",""
"passed","Mon Jun 09 23:24:32 UTC 2025","Mon Jun 09 23:24:37 UTC 2025","5438","","tests.FormTest","","tests.FormTest","submitFormWithAllFieldsAndVerifyModal","Отправить форму со всеми полями и проверить данные в модальном окне",""
"passed","Mon Jun 09 23:24:37 UTC 2025","Mon Jun 09 23:24:41 UTC 2025","3651","","tests.FormTest","","tests.FormTest","shouldCloseTheModalWindow","Система должна закрывать модальное окно",""
